locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1728067,Leo's Hot Dogs,Push Cart,9121000,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),2301 MISSION ST,3595031,3595,31,23MFF-00008,APPROVED,Hot dogs and related toppings: non alcoholic beverages,6007018.02,2104913.057,37.76008693,-122.4188065,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00008&ExportPDF=1&Filename=23MFF-00008_schedule.pdf,,,9/20/2023 0:00,20230920,1,11/15/2024 0:00,"(37.76008693198698, -122.41880648110114)",2,4,7,28859,19
735318,Ziaurehman Amini,Push Cart,30727000,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,234017,234,17,15MFF-0159,REQUESTED,,6013916.72,2117244.027,37.794331,-122.3958111,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,,,20151231,0,3/15/2016 0:00,"(37.794331003246846, -122.39581105302317)",4,1,10,28855,6
1722089,Casita Vegana,Truck,7553000,JOHN MUIR DR: LAKE MERCED BLVD to SKYLINE BLVD (200 - 699),Assessors Block 7283/Lot004,7283004,7283,4,23MFF-00005,APPROVED,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,5985417.15,2091453.145,37.72188971,-122.4925212,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00005&ExportPDF=1&Filename=23MFF-00005_schedule.pdf,,,8/30/2023 0:00,20230829,0,11/15/2024 0:00,"(37.72188970870838, -122.4925212449949)",1,8,4,64,14
1612654,Sunset Mercantile/Outer Sunset Farmers Market & Mercantile,Truck,1835000,37TH AVE: QUINTARA ST to RIVERA ST (2100 - 2199),2155 37TH AVE,2094006,2094,6,22MFF-00031,REQUESTED,Multiple Food Trucks & Food Types,5984527.62,2100736.237,37.74732655,-122.4962807,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00031&ExportPDF=1&Filename=22MFF-00031_schedule.pdf,,,,20220421,0,11/15/2022 0:00,"(37.74732654654123, -122.49628067270531)",1,8,3,29491,35
1721249,El Calamar Perubian Food Truck,Truck,9091000,MISSION ST: ANTHONY ST to 02ND ST (573 - 599),85 02ND ST,3708019,3708,19,23MFF-00004,APPROVED,Lomo Saltado: Jalea: Ceviche: Calamar: Tilapia plate: chicken special. Soda: Water.,6012696.635,2115129.488,37.78845703,-122.3998842,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00004&ExportPDF=1&Filename=23MFF-00004_schedule.pdf,,,8/31/2023 0:00,20230825,0,11/15/2024 0:00,"(37.788457028828915, -122.3998841605663)",12,2,9,28855,6
1744305,"BOWL'D ACAI, LLC.",Truck,9301000,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),451 MONTGOMERY ST,240001,240,1,23MFF-00049,REQUESTED,Acai Bowls: Smoothies: Juices,6011767.937,2117013.017,37.79357693,-122.4032299,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00049&ExportPDF=1&Filename=23MFF-00049_schedule.pdf,,,,20231121,0,11/15/2024 0:00,"(37.79357693326183, -122.40322987670133)",4,1,10,28854,6
1744303,"BOWL'D ACAI, LLC.",Truck,8122000,LARKIN ST: FULTON ST to MCALLISTER ST (200 - 299),200 LARKIN ST,353001,353,1,23MFF-00048,REQUESTED,Acai Bowls: Smoothies: Juices,6007971.743,2112224.278,37.78021548,-122.4160258,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00048&ExportPDF=1&Filename=23MFF-00048_schedule.pdf,,,,20231121,0,11/15/2024 0:00,"(37.78021548028814, -122.41602577015111)",7,10,9,28852,36
1733728,MOMO INNOVATION LLC,Truck,3527000,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),351 CALIFORNIA ST,0261010A,261,010A,23MFF-00027,APPROVED,Noodles: Meat & Drinks,6012479.849,2116741.356,37.79287075,-122.4007475,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00027&ExportPDF=1&Filename=23MFF-00027_schedule.pdf,,,10/18/2023 0:00,20231016,0,11/15/2024 0:00,"(37.792870749741496, -122.4007474940767)",4,1,10,28854,6
1733788,MOMO INNOVATION LLC,Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,263011,263,11,23MFF-00029,APPROVED,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,6013245.668,2116754.292,37.79294895,-122.3980986,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00029&ExportPDF=1&Filename=23MFF-00029_schedule.pdf,,,10/18/2023 0:00,20231017,0,11/15/2024 0:00,"(37.792948952834664, -122.39809861316652)",4,1,10,28860,6
1733610,Buenafe,Truck,10927000,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),220 RANKIN ST,5228001,5228,1,23MFF-00025,APPROVED,Tacos: Burritos: Quesadillas: Tortas,6014520.892,2099538.537,37.74574924,-122.3924815,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00025&ExportPDF=1&Filename=23MFF-00025_schedule.pdf,,,10/18/2023 0:00,20231013,0,11/15/2024 0:00,"(37.74574924062031, -122.3924814876784)",10,3,8,58,1
